Name,in:Elevator Width,in:Elevator Length,in:Module Width,in:Module Length,in:Floor Height,in:Length Shift,in:Width Shift,in:Glass Type,in:Solid Wall Amount,out:Total SF,out:Total Steel Tonnage,out:Total EE,out:Amount Glazed,img:Image Name,threeD,,,,,
10~12~24~66~17~2~0~0~0.1,10,12,24,66,17,2,0,0,0.1,48000,340.698151,8733.75,4,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_12.0_24.0_66.0_17.0_2.0_0.0_0.0_0.1.json,,,,,
10~12~24~66~18~-8~2~9~0,10,12,24,66,18,-8,2,9,0,54240,581.788205,13198.19322,0,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_12.0_24.0_68.0_16.0_-4.0_2.0_2.0_0.43_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0.json,,,,,
10~12~24~68~16~-4~2~2~0.43,10,12,24,68,16,-4,2,2,0.43,53760,573.412552,13124.44196,0.16,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_12.0_24.0_70.0_14.0_-2.0_0.0_3.0_0.11_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_12.0_24.0_68.0_16.0_-4.0_2.0_2.0_0.43.json,,,,,
10~12~24~70~14~-2~0~3~0.11,10,12,24,70,14,-2,0,3,0.11,51072,343.176502,8268.131266,3.55,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_12.0_26.0_66.0_17.0_-6.0_2.0_0.0_0.15_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_12.0_24.0_70.0_14.0_-2.0_0.0_3.0_0.11.json,,,,,
10~12~26~66~17~-6~2~0~0.15,10,12,26,66,17,-6,2,0,0.15,57696,727.828177,15522.39323,2.33,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_12.0_26.0_76.0_14.0_-8.0_-4.0_3.0_0.28_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_12.0_26.0_66.0_17.0_-6.0_2.0_0.0_0.15.json,,,,,
10~12~26~76~14~-8~-4~3~0.28,10,12,26,76,14,-8,-4,3,0.28,70912,535.868687,9298.426218,0.79,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_12.0_28.0_72.0_16.0_-4.0_-2.0_1.0_0.27_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_12.0_26.0_76.0_14.0_-8.0_-4.0_3.0_0.28.json,,,,,
10~12~28~72~16~-4~-2~1~0.27,10,12,28,72,16,-4,-2,1,0.27,66624,801.835735,14809.22791,0.85,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_12.0_30.0_74.0_18.0_6.0_-4.0_7.0_0.35_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_12.0_28.0_72.0_16.0_-4.0_-2.0_1.0_0.27.json,,,,,
10~12~30~74~18~6~-4~7~0.35,10,12,30,74,18,6,-4,7,0.35,78048,779.063873,12282.44157,0.43,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_12.0_32.0_78.0_14.0_2.0_0.0_3.0_0.05_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_12.0_30.0_74.0_18.0_6.0_-4.0_7.0_0.35.json,,,,,
10~12~32~78~14~2~0~3~0.05,10,12,32,78,14,2,0,3,0.05,77568,453.131042,7188.144596,9,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_14.0_24.0_64.0_16.0_4.0_-4.0_1.0_0.43_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_12.0_32.0_78.0_14.0_2.0_0.0_3.0_0.05.json,,,,,
10~14~24~64~16~4~-4~1~0.43,10,14,24,64,16,4,-4,1,0.43,52736,372.130642,8682.87318,0.16,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_14.0_26.0_68.0_15.0_-8.0_-2.0_3.0_0.19_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_14.0_24.0_64.0_16.0_4.0_-4.0_1.0_0.43.json,,,,,
