in:name,in:width,in:length,in:core w.,in:core l.,in:floor height,in:shift l.,in:shift w.,in:concrete or steel,in:glass type,in:glazing ratio ,out:FLOOR AREA,out:DAYLIGHT FACT.,out:COOLING kwh,out:HEATING kwh,out:STEEL ece,out:CONC. Ece,out:GLAZING ece,out:TOTAL ece,img:Image Name,threeD
9.0-20.0-2.5-3.0-4.0--2.0--1.0-0.0-1.0-0.4,9,20,2.5,3,4,-2,-1,0,1,40,6384,32.2,214886,304414,297.9,278.1,94.4,4279980.0,9.0-20.0-2.5-3.0-4.0--2.0--1.0-0.0-1.0-0.4_0__Perspective.png,9.0-20.0-2.5-3.0-4.0--2.0--1.0-0.0-1.0-0.4.json
7.8-19.8-3.0-5.2-5.5-0.2--1.0-1.0-2.0-0.3,7.8,19.8,3,5.2,5.5,0.2,-1,1,2,30,4950.7,87.4,226647,296693,288.4,95.7,277.2,3273526.6,7.8-19.8-3.0-5.2-5.5-0.2--1.0-1.0-2.0-0.3_0__Perspective.png,7.8-19.8-3.0-5.2-5.5-0.2--1.0-1.0-2.0-0.3.json
8.2-18.5-2.7-5.1-6.3-1.5--0.3-1.0-2.0-0.5,8.2,18.5,2.7,5.1,6.3,1.5,-0.3,1,2,50,4831.4,87,226197,304768,416.0,115.5,291.0,3974266.9,8.2-18.5-2.7-5.1-6.3-1.5--0.3-1.0-2.0-0.5_0__Perspective.png,8.2-18.5-2.7-5.1-6.3-1.5--0.3-1.0-2.0-0.5.json
8.5-15.1-3.3-4.2-4.1--1.0--0.5-0.0-0.0-0.6,8.5,15.1,3.3,4.2,4.1,-1,-0.5,0,0,60,4036.9,41.6,168419,211710,324.9,303.3,101.9,2947225.0,8.5-15.1-3.3-4.2-4.1--1.0--0.5-0.0-0.0-0.6_0__Perspective.png,8.5-15.1-3.3-4.2-4.1--1.0--0.5-0.0-0.0-0.6.json
6.0-18.5-2.9-3.8-5.6--1.5-0.7-0.0-1.0-0.6,6,18.5,2.9,3.8,5.6,-1.5,0.7,0,1,60,3701,96,179156,231811,289.9,270.7,187.6,2768980.0,6.0-18.5-2.9-3.8-5.6--1.5-0.7-0.0-1.0-0.6_0__Perspective.png,6.0-18.5-2.9-3.8-5.6--1.5-0.7-0.0-1.0-0.6.json
6.9-16.3-3.1-4.1-5.2--0.2-0.5-1.0-0.0-0.8,6.9,16.3,3.1,4.1,5.2,-0.2,0.5,1,0,80,3418.6,78.4,180578,203602,370.4,135.6,145.9,2228804.2,6.9-16.3-3.1-4.1-5.2--0.2-0.5-1.0-0.0-0.8_0__Perspective.png,6.9-16.3-3.1-4.1-5.2--0.2-0.5-1.0-0.0-0.8.json
6.5-19.7-2.8-4.7-4.1--1.7-0.7-1.0-2.0-0.3,6.5,19.7,2.8,4.7,4.1,-1.7,0.7,1,2,30,4244.1,57.9,172406,232905,304.8,83.4,231.4,2629387.6,6.5-19.7-2.8-4.7-4.1--1.7-0.7-1.0-2.0-0.3_0__Perspective.png,6.5-19.7-2.8-4.7-4.1--1.7-0.7-1.0-2.0-0.3.json
6.9-15.6-2.5-3.2-6.2-0.0--0.8-0.0-1.0-0.5,6.9,15.6,2.5,3.2,6.2,0,-0.8,0,1,50,3488,97.1,171727,230287,315.0,294.1,200.9,2825085.0,6.9-15.6-2.5-3.2-6.2-0.0--0.8-0.0-1.0-0.5_0__Perspective.png,6.9-15.6-2.5-3.2-6.2-0.0--0.8-0.0-1.0-0.5.json
6.8-16.8-2.9-4.0-4.6-1.4--0.8-0.0-1.0-0.5,6.8,16.8,2.9,4,4.6,1.4,-0.8,0,1,50,3808.6,60,159884,216306,286.9,267.8,144.7,2663935.0,6.8-16.8-2.9-4.0-4.6-1.4--0.8-0.0-1.0-0.5_0__Perspective.png,6.8-16.8-2.9-4.0-4.6-1.4--0.8-0.0-1.0-0.5.json
7.2-16.2-2.7-3.8-4.9--2.0-0.4-0.0-1.0-0.5,7.2,16.2,2.7,3.8,4.9,-2,0.4,0,1,50,3886.1,63.1,165795,223337,297.4,277.6,148.0,2809630.0,7.2-16.2-2.7-3.8-4.9--2.0-0.4-0.0-1.0-0.5_0__Perspective.png,7.2-16.2-2.7-3.8-4.9--2.0-0.4-0.0-1.0-0.5.json
8.6-16.5-3.2-5.2-6.1--0.8--0.5-0.0-0.0-0.5,8.6,16.5,3.2,5.2,6.1,-0.8,-0.5,0,0,50,4361.8,77.5,223073,259235,358.3,334.5,157.8,3709893.0,8.6-16.5-3.2-5.2-6.1--0.8--0.5-0.0-0.0-0.5_0__Perspective.png,8.6-16.5-3.2-5.2-6.1--0.8--0.5-0.0-0.0-0.5.json
6.2-16.5-3.4-4.0-6.1-1.6--0.3-0.0-2.0-0.0,6.2,16.5,3.4,4,6.1,1.6,-0.3,0,2,0,3183.8,99.7,175581,224061,286.3,267.3,429.5,3130186.5,6.2-16.5-3.4-4.0-6.1-1.6--0.3-0.0-2.0-0.0_0__Perspective.png,6.2-16.5-3.4-4.0-6.1-1.6--0.3-0.0-2.0-0.0.json
7.1-17.5-3.3-5.0-5.3-1.0-0.2-0.0-1.0-0.8,7.1,17.5,3.3,5,5.3,1,0.2,0,1,80,3697.6,70.9,182726,242484,336.7,314.3,160.8,3001850.0,7.1-17.5-3.3-5.0-5.3-1.0-0.2-0.0-1.0-0.8_0__Perspective.png,7.1-17.5-3.3-5.0-5.3-1.0-0.2-0.0-1.0-0.8.json
6.5-19.8-3.3-5.8-6.1-1.0--0.1-1.0-1.0-0.9,6.5,19.8,3.3,5.8,6.1,1,-0.1,1,1,90,3707,96.8,208031,268869,536.1,160.9,199.6,3323512.2,6.5-19.8-3.3-5.8-6.1-1.0--0.1-1.0-1.0-0.9_0__Perspective.png,6.5-19.8-3.3-5.8-6.1-1.0--0.1-1.0-1.0-0.9.json
8.9-15.3-3.1-3.1-5.4-1.6--0.7-0.0-1.0-0.4,8.9,15.3,3.1,3.1,5.4,1.6,-0.7,0,1,40,4621.8,58.4,186668,260087,327.8,306.0,143.0,3590335.0,8.9-15.3-3.1-3.1-5.4-1.6--0.7-0.0-1.0-0.4_0__Perspective.png,8.9-15.3-3.1-3.1-5.4-1.6--0.7-0.0-1.0-0.4.json
6.9-16.7-3.1-4.2-5.7--1.8--0.3-0.0-2.0-0.0,6.9,16.7,3.1,4.2,5.7,-1.8,-0.3,0,2,0,3676.1,97.2,182717,236818,282.9,264.1,361.5,3339651.0,6.9-16.7-3.1-4.2-5.7--1.8--0.3-0.0-2.0-0.0_0__Perspective.png,6.9-16.7-3.1-4.2-5.7--1.8--0.3-0.0-2.0-0.0.json
6.9-16.0-3.1-3.5-5.8--1.9--0.7-0.0-1.0-0.0,6.9,16,3.1,3.5,5.8,-1.9,-0.7,0,1,0,3737.1,97.4,174645,230484,278.0,259.5,210.8,2796412.4,6.9-16.0-3.1-3.5-5.8--1.9--0.7-0.0-1.0-0.0_0__Perspective.png,6.9-16.0-3.1-3.5-5.8--1.9--0.7-0.0-1.0-0.0.json
7.9-16.2-3.0-4.5-4.5--0.5-0.2-1.0-0.0-0.7,7.9,16.2,3,4.5,4.5,-0.5,0.2,1,0,70,3833.5,58.2,184326,215815,503.3,115.8,118.3,2826930.4,7.9-16.2-3.0-4.5-4.5--0.5-0.2-1.0-0.0-0.7_0__Perspective.png,7.9-16.2-3.0-4.5-4.5--0.5-0.2-1.0-0.0-0.7.json
