Description,in:width,in:length,in:height,out:surfaceArea,out:volume,out:edgeLength,img,threeD
1_1_1,1,1,1,24,8,24,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_1_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_1_1.json
2_1_1,2,1,1,40,16,32,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_1_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_1_1.json
3_1_1,3,1,1,56,24,40,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_1_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_1_1.json
4_1_1,4,1,1,72,32,48,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_1_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_1_1.json
5_1_1,5,1,1,88,40,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_1_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_1_1.json
1_2_1,1,2,1,40,16,32,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_2_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_2_1.json
2_2_1,2,2,1,64,32,40,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_2_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_2_1.json
3_2_1,3,2,1,88,48,48,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_2_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_2_1.json
4_2_1,4,2,1,112,64,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_2_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_2_1.json
5_2_1,5,2,1,136,80,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_2_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_2_1.json
