Name,in:Top of Handle,in:Bottom of Handle,in:Length of Handle,in:Radius of Mug,in:Height of Mug,out:Volume of Liquid,out:Weight of Mug,out:Ratio of Mug to Handle,out:Ratio of Mug to Liquid,img:Image Name,threeD
0.6564-0.1333-0.3305-1.1095-1.878,0.6564,0.1333,0.3305,1.1095,1.878,4.361,0.243,0.016,0.672,Frame_00000.bmp,d3_0.json
0.6564-0.1333-0.3305-1.1095-1.878,0.6564,0.1333,0.3305,1.1095,1.878,4.361,0.243,0.016,0.672,Frame_00001.bmp,d3_1.json
0.7276-0.2077-1.01825-1.9311-1.426,0.7276,0.2077,1.01825,1.9311,1.426,11.542,0.442,0.038,0.463,Frame_00002.bmp,d3_2.json
0.6848-0.3931-1.69025-1.4696-1.369,0.6848,0.3931,1.69025,1.4696,1.369,5.92,0.316,0.137,0.645,Frame_00003.bmp,d3_3.json
0.546-0.3763-1.58875-1.1485-1.671,0.546,0.3763,1.58875,1.1485,1.671,4.158,0.261,0.145,0.759,Frame_00004.bmp,d3_4.json
0.6744-0.3229-0.45475-1.5385-1.28,0.6744,0.3229,0.45475,1.5385,1.28,6.079,0.287,0.013,0.571,Frame_00005.bmp,d3_5.json
0.7704-0.2317-1.83725-0.9366-1.982,0.7704,0.2317,1.83725,0.9366,1.982,3.038,0.248,0.248,0.988,Frame_00006.bmp,d3_6.json
0.6488-0.2407-1.72525-1.0094-1.025,0.6488,0.2407,1.72525,1.0094,1.025,1.698,0.17,0.303,1.207,Frame_00007.bmp,d3_7.json
0.8484-0.2737-1.37875-0.9782-1.84,0.8484,0.2737,1.37875,0.9782,1.84,3.12,0.228,0.151,0.882,Frame_00008.bmp,d3_8.json
0.6392-0.3874-1.1425-1.2096-1.127,0.6392,0.3874,1.1425,1.2096,1.127,2.968,0.2,0.095,0.813,Frame_00009.bmp,d3_9.json
0.644-0.3157-1.23175-1.4163-1.572,0.644,0.3157,1.23175,1.4163,1.572,6.377,0.312,0.073,0.592,Frame_00010.bmp,d3_10.json
0.5116-0.2563-0.873-1.168-1.444,0.5116,0.2563,0.873,1.168,1.444,3.662,0.219,0.051,0.722,Frame_00011.bmp,d3_11.json
0.8224-0.1471-1.8495-1.1966-1.588,0.8224,0.1471,1.8495,1.1966,1.588,4.331,0.281,0.216,0.784,Frame_00012.bmp,d3_12.json
